EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),ObstacleClusters
1781616969.8149893,15.818473815917969,-200.0,200.0,0.2,2.5266793636222835e-10,2.456969450145212,0.9999999999705087,1.8771980474090388e-10,6.28318530715891,1781616969.7995033,2.447361840770808,0.999999999975413,5.109992429197519e-10,1781616969.778068,1781616969.7696443,1.0225597140466172,apf_colreg,dynamic_virtual_obstacle,-1.0,1.5230331701876951,7.0,9.932638272856197,-4.844604284470806,4.938598447273191,2.495025302973427,2.771871517119255,"[{""label"":1,""point_count"":8,""centre_ne_m"":[4.938598447273191,2.495025302973427],""centre_body_m"":[2.4036870550594247,1.49502530274022],""distance_m"":2.8306911019208254,""min_distance_m"":2.771871517119255,""cluster_radius_m"":0.15562480285093327,""cluster_size_m"":0.24962914389999383,""equivalent_radius_m"":0.1818910632022869,""track_id"":1,""speed_m_s"":0.09614920983823506,""heading_deg"":-85.60686590812894},{""label"":0,""point_count"":5,""centre_ne_m"":[1.9738723369482163,-3.335627558578152],""centre_body_m"":[-0.561039056110061,-4.335627558381948],""distance_m"":4.371776658005516,""min_distance_m"":4.360351338345945,""cluster_radius_m"":0.10334497291979997,""cluster_size_m"":0.206338107360659,""equivalent_radius_m"":0.18000000000000002,""track_id"":2,""speed_m_s"":0.09536673067155019,""heading_deg"":88.24561876621257}]"
1781616970.014777,16.018261432647705,-200.0,200.0,0.2,2.5444933043089616e-10,2.5183080001251144,0.999999999986007,1.1086829024695236e-10,2.631672657571471e-12,1781616970.0097327,,,,,1781616969.9603937,1.016922855042744,apf_colreg,dynamic_virtual_obstacle,-1.0,1.413063046383583,4.5,10.24169079692576,-4.757639849242909,4.824632110537118,2.47148786019467,2.7241701621277294,"[{""label"":1,""point_count"":8,""centre_ne_m"":[4.824632110537118,2.47148786019467],""centre_body_m"":[2.367662660763704,1.471487859625929],""distance_m"":2.78766981477383,""min_distance_m"":2.7241701621277294,""cluster_radius_m"":0.15724291716109853,""cluster_size_m"":0.25058266327015793,""equivalent_radius_m"":0.1818910632022869,""track_id"":1,""speed_m_s"":0.096035768258632,""heading_deg"":-85.3703476682215},{""label"":0,""point_count"":5,""centre_ne_m"":[1.8475361591857706,-3.315346133289246],""centre_body_m"":[-0.6094332920497911,-4.315346133105771],""distance_m"":4.358167181966471,""min_distance_m"":4.345570484300008,""cluster_radius_m"":0.10324863269731545,""cluster_size_m"":0.206117287065031,""equivalent_radius_m"":0.18000000000000002,""track_id"":2,""speed_m_s"":0.09525902035625233,""heading_deg"":87.05276997666556}]"
1781616970.2154357,16.21892023086548,-200.0,200.0,0.2,2.189428260214917e-10,2.586454810305179,1.0000000000033469,-2.483379374661341e-10,6.283185307140568,1781616970.1774478,,,,,1781616970.1603,0.9109671387578696,apf_colreg,dynamic_virtual_obstacle,-1.0,1.3290151377192623,4.0,10.27668391296642,-4.826757856746259,4.84571471847199,2.463953394540247,2.6803309536316906,"[{""label"":1,""point_count"":9,""centre_ne_m"":[4.84571471847199,2.463953394540247],""centre_body_m"":[2.3274067187193785,1.463953393962033],""distance_m"":2.7495420662417698,""min_distance_m"":2.6803309536316906,""cluster_radius_m"":0.16923958020083474,""cluster_size_m"":0.2724496982544457,""equivalent_radius_m"":0.1818910632022869,""track_id"":1,""speed_m_s"":0.09535193568703063,""heading_deg"":-86.95339681362907},{""label"":0,""point_count"":6,""centre_ne_m"":[1.8834612226379719,-3.3157725152440674],""centre_body_m"":[-0.6348467785852877,-4.315772515068538],""distance_m"":4.362215358519239,""min_distance_m"":4.332954538955783,""cluster_radius_m"":0.14941778815415302,""cluster_size_m"":0.2672026113837154,""equivalent_radius_m"":0.18000000000000002,""track_id"":2,""speed_m_s"":0.09497699900639696,""heading_deg"":87.58480142888261}]"
1781616970.415008,16.418492555618286,-200.0,200.0,0.2,2.6287354131046114e-10,2.6559248363864607,1.000000000018557,3.565333387372374e-10,3.725197927906265e-11,1781616970.39137,,,,,1781616970.3783956,0.9783705415135987,apf_colreg,dynamic_virtual_obstacle,-1.0,1.4758784695494527,3.5,10.274152939015252,-4.795336594616662,4.877419957421631,2.4398215707403104,2.632693911506111,"[{""label"":1,""point_count"":9,""centre_ne_m"":[4.877419957421631,2.4398215707403104],""centre_body_m"":[2.29096514743169,1.4398215702353734],""distance_m"":2.7058469027019547,""min_distance_m"":2.632693911506111,""cluster_radius_m"":0.17092587556720937,""cluster_size_m"":0.2724513845502252,""equivalent_radius_m"":0.1818910632022869,""track_id"":1,""speed_m_s"":0.09446981565765038,""heading_deg"":-89.14011176006619},{""label"":0,""point_count"":6,""centre_ne_m"":[1.9051286289024212,-3.28486583024399],""centre_body_m"":[-0.6813261823408986,-4.284865830098165],""distance_m"":4.338695719762572,""min_distance_m"":4.319272970878607,""cluster_radius_m"":0.12891030490185063,""cluster_size_m"":0.25451852527576535,""equivalent_radius_m"":0.18000000000000002,""track_id"":2,""speed_m_s"":0.09461555703503785,""heading_deg"":88.77350194078015}]"
1781616970.6143332,16.617817640304565,-200.0,200.0,0.2,2.6024500362300385e-10,2.725585089598117,1.0000000000368687,9.375461596083785e-11,5.535760273681654e-11,1781616970.5844872,,,,,1781616970.5844872,1.0581668134116509,apf_colreg,dynamic_virtual_obstacle,-1.0,1.4682185741965257,3.5,10.260872119401764,-4.772966962295117,4.902582830206577,2.42876754644052,2.5830843008540323,"[{""label"":1,""point_count"":10,""centre_ne_m"":[4.902582830206577,2.42876754644052],""centre_body_m"":[2.246657994195701,1.428767545831376],""distance_m"":2.6624892193029557,""min_distance_m"":2.5830843008540323,""cluster_radius_m"":0.182737418206734,""cluster_size_m"":0.29640732338624726,""equivalent_radius_m"":0.18200512229423418,""track_id"":1,""speed_m_s"":0.0937044916078646,""heading_deg"":-89.30058627188846},{""label"":0,""point_count"":6,""centre_ne_m"":[1.9281545752064866,-3.2570668149016337],""centre_body_m"":[-0.7277702622990444,-4.257066814728879],""distance_m"":4.318827088429532,""min_distance_m"":4.305322523577666,""cluster_radius_m"":0.12849084285348375,""cluster_size_m"":0.2553736845385948,""equivalent_radius_m"":0.18000000000000002,""track_id"":2,""speed_m_s"":0.09448887530631334,""heading_deg"":88.2166222708359}]"
1781616970.8148894,16.818373918533325,-200.0,200.0,0.2,3.2652498259930566e-10,2.6474286313873456,1.0000000000675673,-1.5133521405480072e-10,2.6179445032400183e-11,1781616970.777292,2.6378070430437246,1.0000000000683849,6.012061959381754e-10,1781616970.784795,1781616970.8003564,0.9913128958104991,apf_colreg,dynamic_virtual_obstacle,-1.0,1.489416198505865,6.0,9.938418428307568,-4.8622258852589395,4.935219202539749,2.4039015636816967,2.54751206862267,"[{""label"":1,""point_count"":10,""centre_ne_m"":[4.935219202539749,2.4039015636816967],""centre_body_m"":[2.2096341133069908,1.4039015630697818],""distance_m"":2.6179042216016515,""min_distance_m"":2.54751206862267,""cluster_radius_m"":0.1838350792603842,""cluster_size_m"":0.2949166597845681,""equivalent_radius_m"":0.18230042313114658,""track_id"":1,""speed_m_s"":0.09313922100082025,""heading_deg"":-87.9724818776991},{""label"":0,""point_count"":6,""centre_ne_m"":[1.9509057159319463,-3.234383219424741],""centre_body_m"":[-0.774679374768148,-4.234383219260003],""distance_m"":4.304663678063814,""min_distance_m"":4.2842280273101645,""cluster_radius_m"":0.1287126148315899,""cluster_size_m"":0.25662697765517734,""equivalent_radius_m"":0.18000000000000002,""track_id"":2,""speed_m_s"":0.0941825588243941,""heading_deg"":86.47088545059799}]"
1781616971.0155492,17.019033670425415,-200.0,200.0,0.2,3.797835610263765e-10,2.708748316848201,1.0000000000875897,5.531667538311619e-10,1.3226133095294745e-10,1781616970.969064,,,,,1781616970.9880035,1.081594600203016,apf_colreg,dynamic_virtual_obstacle,-1.0,1.4783651653067662,3.5,10.244065520154972,-4.805856128108655,4.801511428361825,2.384846307163304,2.5041724698109644,"[{""label"":1,""point_count"":9,""centre_ne_m"":[4.801511428361825,2.384846307163304],""centre_body_m"":[2.1540827974266663,1.384846306392375],""distance_m"":2.5608342372160866,""min_distance_m"":2.5041724698109644,""cluster_radius_m"":0.14902414706597342,""cluster_size_m"":0.24654160366974714,""equivalent_radius_m"":0.18230042313114658,""track_id"":1,""speed_m_s"":0.09252070786332732,""heading_deg"":-88.55730696609338},{""label"":0,""point_count"":5,""centre_ne_m"":[1.8514139004223142,-3.2142589563821553],""centre_body_m"":[-0.7960147323410922,-4.214258956189804],""distance_m"":4.288778148136138,""min_distance_m"":4.271584875582594,""cluster_radius_m"":0.10264331795637327,""cluster_size_m"":0.20479436413878696,""equivalent_radius_m"":0.18000000000000002,""track_id"":2,""speed_m_s"":0.09378083759443534,""heading_deg"":86.53955466464936}]"
1781616971.2150786,17.218563079833984,-200.0,200.0,0.2,3.6448870387538516e-10,2.7768906593027007,1.000000000113469,7.593507278363243e-11,1.4664772124955926e-10,1781616971.2181633,,,,,1781616971.1860986,1.017929536059345,apf_colreg,dynamic_virtual_obstacle,-1.0,1.4306107603827949,3.0,10.273522771842696,-4.860213850633546,4.8298825363765925,2.362448184782682,2.459969921068837,"[{""label"":1,""point_count"":9,""centre_ne_m"":[4.8298825363765925,2.362448184782682],""centre_body_m"":[2.121134220045826,1.3624481838895204],""distance_m"":2.5210068292714456,""min_distance_m"":2.459969921068837,""cluster_radius_m"":0.15060429434526654,""cluster_size_m"":0.24547253768137225,""equivalent_radius_m"":0.18230042313114658,""track_id"":1,""speed_m_s"":0.09198949567584741,""heading_deg"":-91.2353431135128},{""label"":0,""point_count"":6,""centre_ne_m"":[1.8847538018940264,-3.2289175032550745],""centre_body_m"":[-0.8239945165602479,-4.228917503029725],""distance_m"":4.308446380164492,""min_distance_m"":4.261105331286913,""cluster_radius_m"":0.19238239967566034,""cluster_size_m"":0.2962648490436208,""equivalent_radius_m"":0.1805159333198192,""track_id"":2,""speed_m_s"":0.09307864808808199,""heading_deg"":88.26767834271253}]"
1781616971.4159305,17.41941499710083,-200.0,200.0,0.2,3.4560430803211116e-10,2.846360006191679,1.0000000001387899,-2.503173523080108e-11,1.4055461251500683e-10,1781616971.4019358,,,,,1781616971.3824894,1.06623993778233,apf_colreg,dynamic_virtual_obstacle,-1.0,1.394947924612191,3.0,10.260389566386362,-4.827288370426578,4.861110860499728,2.3373549561394844,2.41463154639191,"[{""label"":1,""point_count"":9,""centre_ne_m"":[4.861110860499728,2.3373549561394844],""centre_body_m"":[2.0842202016844786,1.3373549552663409],""distance_m"":2.476386909488322,""min_distance_m"":2.41463154639191,""cluster_radius_m"":0.1523482477767153,""cluster_size_m"":0.2454491199738741,""equivalent_radius_m"":0.18139087791235156,""track_id"":1,""speed_m_s"":0.09224419625648535,""heading_deg"":-93.99334662295598},{""label"":0,""point_count"":6,""centre_ne_m"":[1.907019128814688,-3.2030240711665545],""centre_body_m"":[-0.8698715320199674,-4.203024070962965],""distance_m"":4.292095970887984,""min_distance_m"":4.248716530969606,""cluster_radius_m"":0.17350794350113727,""cluster_size_m"":0.28019286448782976,""equivalent_radius_m"":0.1805159333198192,""track_id"":2,""speed_m_s"":0.09226256867801677,""heading_deg"":90.44225431426979}]"
1781616971.614724,17.618208408355713,-200.0,200.0,0.2,3.726443369238232e-10,2.91602016735069,1.0000000001628646,3.146634324394072e-10,2.0135827578079673e-10,1781616971.5951698,,,,,1781616971.5951698,1.0079816921199998,apf_colreg,dynamic_virtual_obstacle,-1.0,1.3681078284682033,3.0,10.248428556220425,-4.8176503627297285,4.905168879661716,2.3370475047491044,2.3930354768374995,"[{""label"":1,""point_count"":10,""centre_ne_m"":[4.905168879661716,2.3370475047491044],""centre_body_m"":[2.0588088739321257,1.3370475038987812],""distance_m"":2.4548706701298193,""min_distance_m"":2.3930354768374995,""cluster_radius_m"":0.16236076321136567,""cluster_size_m"":0.2664047180939513,""equivalent_radius_m"":0.1809092106024404,""track_id"":1,""speed_m_s"":0.09237360250227787,""heading_deg"":-94.25019428497548},{""label"":0,""point_count"":5,""centre_ne_m"":[1.958619147253976,-3.1668048202188683],""centre_body_m"":[-0.8877408603777687,-4.166804820050851],""distance_m"":4.260322316865623,""min_distance_m"":4.246680112533978,""cluster_radius_m"":0.10182501984035913,""cluster_size_m"":0.20157823928744872,""equivalent_radius_m"":0.1805159333198192,""track_id"":2,""speed_m_s"":0.09196042594880735,""heading_deg"":90.3983838837519}]"
1781616971.8140914,17.817575931549072,-200.0,200.0,0.2,4.307614667178483e-10,2.837877755888236,1.0000000001486227,-1.7011959709669576e-10,1.6667123816190567e-10,1781616971.7990677,2.8282570825060303,1.0000000001460059,7.086438102987813e-10,1781616971.791533,1781616971.80207,0.9742235711012227,apf_colreg,dynamic_virtual_obstacle,-1.0,1.4664139314623368,5.0,9.93880742451418,-4.881568616899329,4.940591767728168,2.3134568099830033,2.354569224435496,"[{""label"":1,""point_count"":10,""centre_ne_m"":[4.940591767728168,2.3134568099830033],""centre_body_m"":[2.02457160086693,1.3134568090656935],""distance_m"":2.4133087155020005,""min_distance_m"":2.354569224435496,""cluster_radius_m"":0.1638756274652948,""cluster_size_m"":0.2657037514937104,""equivalent_radius_m"":0.18040935992885965,""track_id"":1,""speed_m_s"":0.09245644324313264,""heading_deg"":-92.58467958269397},{""label"":0,""point_count"":5,""centre_ne_m"":[1.982550422801431,-3.143858085283149],""centre_body_m"":[-0.9334697460934439,-4.143858085098161],""distance_m"":4.247696504731142,""min_distance_m"":4.22703152718811,""cluster_radius_m"":0.10259132559113558,""cluster_size_m"":0.20460377011174105,""equivalent_radius_m"":0.1805159333198192,""track_id"":2,""speed_m_s"":0.09168670279479543,""heading_deg"":88.06577030220042}]"
