EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m)
1781790579.184942,2.221693277359009,-200.0,200.0,0.2,6.283185305596895,-5.473667791639619e-05,1.0000000004676186,7.708383190287902e-13,6.283185305597028,1781790579.1215782,-5.473667791639619e-05,1.0000000004676186,6.283185305596874, 1781790578.295635, 1781790579.184942,1.082897138475038,apf_avoid,none,0.0,nan,nan,7.2338737071132515,0.0010469932830655855,1.1150768560823547,0.9940944535987966,1.1151050457879603
1781790579.1979704,2.2347216606140137,200.0,200.0,0.2,6.2831853055969,0.030162926367986724,1.0000000004197933,7.708383190287902e-13,6.283185305597183,1781790579.2022748,None,None,None, None, 1781790579.184942,1.082897138475038,apf_avoid,none,0.0,nan,nan,12.047654271166419,4.391345630089792,1.1150768560823547,0.9940944535987966,1.1151050457879603
1781790579.3985689,2.4353201389312744,200.0,200.0,0.2,6.279293637282759,0.012800650595425914,0.9999617738875867,1.3711339541407408e-10,6.28318530562966,1781790579.3584433,0.004510771272135654,1.0000000006505931,6.283185305598767, 1781790579.304435, 1781790579.3494186,1.0393827172194814,apf_avoid,none,0.0,nan,nan,12.034775543814323,4.438789700125953,1.1369294634684397,0.994142800288328,1.1067944939341725
1781790579.5986516,2.6354029178619385,200.0,200.0,0.2,6.274443002771437,0.03254417386349327,0.9996402176593613,0.11077331043870745,0.02327845540035689,1781790579.5685883,None,None,None, None, 1781790579.55952,0.9824619035577324,apf_avoid,none,0.0,nan,nan,11.99539451307065,4.501189202747834,1.0933071086595054,0.9786449042072773,1.0807181220893514
1781790579.7984538,2.835205078125,200.0,200.0,0.2,6.277544814132788,0.05739692012474524,0.9991707947278556,0.13711097778819187,0.05341659183371484,1781790579.7883966,None,None,None, None, 1781790579.780877,1.0578151341515192,apf_avoid,none,0.0,nan,nan,11.990924716541825,4.47312737058672,1.0906801287845156,0.9401425025596277,1.0597848157714114
1781790579.9988637,3.0356149673461914,200.0,200.0,0.2,6.286381362197236,0.08594516986301343,0.9987795977291318,0.15711795730086794,0.08514601292068605,1781790579.990343,None,None,None, None, 1781790579.9988637,0.9082722473804382,apf_avoid,none,0.0,nan,nan,12.01587139144642,4.373928492605577,1.0968770546709852,0.916587149902958,1.0426675973261341
1781790580.1991968,3.235948085784912,200.0,200.0,0.2,6.298794289859214,0.11696177781101581,0.9986863632853469,0.1661048226880159,0.11716366415138281,1781790580.1830988,None,None,None, None, 1781790580.1916668,1.0032705522698386,apf_avoid,none,0.0,nan,nan,12.056136909935475,4.2308295301684335,1.1083882331164132,0.8942438147052358,1.027668737548877
1781790580.3993874,3.43613862991333,189.09183325484443,200.0,0.2,0.06432755649708788,0.11311830709713555,1.0017724458384207,0.14019546495095822,0.1442947347469734,1781790580.376622,0.11142872586384862,1.0018994294941475,0.13152076014593916, 1781790580.311699, 1781790580.3838685,0.9311089760081155,apf_avoid,none,0.0,nan,nan,12.243361729923752,3.6157512856975282,1.1222573541950311,0.8766486372331941,1.0126576979707074
1781790580.5987244,3.6354756355285645,171.592244232705,200.0,0.2,0.07590511184626261,0.14288549995049102,1.0035458890217113,0.18916840270112426,0.17519753300422305,1781790580.600238,None,None,None, None, 1781790580.5365434,0.9225357362342602,apf_avoid,none,0.0,nan,nan,12.27764176445734,3.463704215997006,1.1363725382053473,0.9121674235040742,0.9974151844332219
1781790580.7990534,3.8358047008514404,160.77310557945816,200.0,0.2,0.08221130011077268,0.17609951096364757,1.005982587521177,0.08999534764828407,0.1954295484143242,1781790580.764795,None,None,None, None, 1781790580.781046,0.9192149968465739,apf_colreg,static_obstacle,-1.0,nan,nan,12.288603749797195,3.3776145996429525,1.1363725382053473,0.9121674235040742,0.9974151844332219
