epoch_s,elapsed_s,north_m,east_m,yaw_rad,target_index,target_north_m,target_east_m,distance_to_target_m,heading_error_rad,cmd_v_m_s,cmd_w_rad_s,right_rate_rad_s,left_rate_rad_s,obstacle_distance_m
1779563344.4222226,0.05128002166748047,-5.1284434585013916e-05,1.0000000005781797,-1.5020867001477919e-09,1,3.0,1.0,3.000051284434585,1.309363284462961e-09,0.18,1.505767777132405e-09,-10.579909507276035,10.579909038038624,5.200051284434585
1779563344.5223742,0.1524372100830078,1.1392568412435623e-05,1.0000000006295404,-1.5020191985878946e-09,1,3.0,1.0,2.9999886074315874,1.2921717029712454e-09,0.18,1.4859974584169321e-09,-10.579909504195555,10.579909041119103,5.199988607431588
1779563344.62308,0.2531430721282959,0.00020785852863685893,1.0000000006125926,-1.5019898887000445e-09,1,3.0,1.0,2.9997921414713633,1.2977783292456024e-09,0.18,1.4924450786324427e-09,-10.57990950520018,10.57990904011448,5.199792141471363
1779563344.723792,0.3538551330566406,0.0005355592469128866,1.0000000005654388,-1.5019179462480488e-09,1,3.0,1.0,2.999464440753087,1.3134044962725966e-09,0.18,1.510415170713486e-09,-10.57990950800016,10.579909037314497,5.199464440753087
1779563344.8249807,0.4550437927246094,0.000940720313074579,1.0000000005292737,-1.5018664318997062e-09,1,3.0,1.0,2.9990592796869255,1.3253864672435611e-09,0.18,1.524194437330095e-09,-10.579909510147154,10.579909035167505,5.199059279686925
1779563344.9255395,0.5556025505065918,0.0021352129994210234,1.0000000005585263,-1.5018913008954578e-09,1,3.0,1.0,2.997864787000579,1.315583197936121e-09,0.18,1.512920677626539e-09,-10.579909508390552,10.579909036924107,5.197864787000579
1779563345.0260825,0.6561455726623535,0.002774165005302843,1.0000000005965883,-1.502053837546263e-09,1,3.0,1.0,2.997225834994697,1.303007035602377e-09,0.18,1.4984580909427336e-09,-10.579909506137087,10.579909039177569,5.197225834994697
1779563345.1268468,0.7569098472595215,0.003977599751272135,1.0000000006232201,-1.5018984063228154e-09,1,3.0,1.0,2.996022400248728,1.2938827786967977e-09,0.18,1.4879651955013171e-09,-10.579909504502155,10.579909040812504,5.196022400248728
1779563345.227675,0.8577380180358887,0.005604233260165805,1.0000000005693197,-1.501632840975325e-09,1,3.0,1.0,2.994395766739834,1.3115042385436482e-09,0.18,1.5082298743251952e-09,-10.57990950765966,10.579909037654996,5.194395766739834
1779563345.328326,0.9583890438079834,0.006321880526154318,1.00000000053967,-1.5014916206065928e-09,1,3.0,1.0,2.9936781194738455,1.3212217986335872e-09,0.18,1.5194050684286252e-09,-10.579909509400906,10.579909035913753,5.193678119473846
1779563345.4289267,1.0589897632598877,0.008138072535365748,1.0000000005143184,-1.5014045791214622e-09,1,3.0,1.0,2.991861927464634,1.3294987333267727e-09,0.18,1.5289235433257884e-09,-10.579909510884011,10.579909034430647,5.191861927464634
1779563345.5296488,1.1597118377685547,0.009552889950919444,1.0000000005460572,-1.502877178941325e-09,1,3.0,1.0,2.9904471100490806,1.3202767767950263e-09,0.18,1.51831829331428e-09,-10.579909509231573,10.579909036083086,5.190447110049081
1779563345.630043,1.260106086730957,0.012169570434062372,1.0000000006091139,-1.5019063999285927e-09,1,3.0,1.0,2.9878304295659377,1.2980416741470435e-09,0.18,1.4927479252690998e-09,-10.579909505247368,10.579909040067289,5.187830429565937
1779563345.7309003,1.3609633445739746,0.013822313892661522,1.0000000005971355,-1.5017758377008968e-09,1,3.0,1.0,2.9861776861073386,1.3018093270034115e-09,0.18,1.497080726053923e-09,-10.579909505922476,10.57990903939218,5.186177686107339
1779563345.8314235,1.461486577987671,0.015374187430142993,1.0000000005560936,-1.5013948091588455e-09,1,3.0,1.0,2.984625812569857,1.3150756039692624e-09,0.18,1.5123369445646516e-09,-10.579909508299599,10.579909037015058,5.184625812569857
1779563345.9319925,1.5620555877685547,0.018085137056977677,1.0000000004981762,-1.5008849947459376e-09,1,3.0,1.0,2.981914862943022,1.333819277249404e-09,0.18,1.5338921688368144e-09,-10.579909511658188,10.579909033656469,5.181914862943023
1779563346.032964,1.663027048110962,0.018085137056977677,1.0000000004981762,-1.5008849947459376e-09,1,3.0,1.0,2.981914862943022,1.333819277249404e-09,0.18,1.5338921688368144e-09,-10.579909511658188,10.579909033656469,5.181914862943023
1779563346.1336796,1.7637426853179932,0.018085137056977677,1.0000000004981762,-1.5008849947459376e-09,1,3.0,1.0,2.981914862943022,1.333819277249404e-09,0.18,1.5338921688368144e-09,-10.579909511658188,10.579909033656469,5.181914862943023
1779563346.2344034,1.8644664287567139,0.018085137056977677,1.0000000004981762,-1.5008849947459376e-09,1,3.0,1.0,2.981914862943022,1.333819277249404e-09,0.18,1.5338921688368144e-09,-10.579909511658188,10.579909033656469,5.181914862943023
1779563346.3354342,1.9654972553253174,0.018085137056977677,1.0000000004981762,-1.5008849947459376e-09,1,3.0,1.0,2.981914862943022,1.333819277249404e-09,0.18,1.5338921688368144e-09,-10.579909511658188,10.579909033656469,5.181914862943023
1779563346.4364042,2.06646728515625,0.018085137056977677,1.0000000004981762,-1.5008849947459376e-09,1,3.0,1.0,2.981914862943022,1.333819277249404e-09,0.18,1.5338921688368144e-09,-10.579909511658188,10.579909033656469,5.181914862943023
1779563346.5373795,2.167442560195923,0.01959121659782154,1.0000000005030767,-1.5009649308037106e-09,1,3.0,1.0,2.9804087834021784,1.3321703740132307e-09,0.18,1.5319959301152152e-09,-10.57990951136273,10.579909033951928,5.180408783402179
1779563346.638116,2.268178939819336,0.024545943067704835,1.000000000591076,-1.5018735373270638e-09,1,3.0,1.0,2.9754540569322954,1.3032228629583642e-09,0.18,1.4987062924021188e-09,-10.579909506175762,10.579909039138897,5.1754540569322955
1779563346.7386558,2.3687188625335693,0.028098265524294973,1.0000000005432907,-1.501257141503792e-09,1,3.0,1.0,2.971901734475705,1.3184480174288637e-09,0.18,1.5162152200431933e-09,-10.579909508903883,10.579909036410772,5.171901734475705
1779563346.8393285,2.4693915843963623,0.029381300932259855,1.000000000512274,-1.5008574612149269e-09,1,3.0,1.0,2.97061869906774,1.32841071476264e-09,0.18,1.5276723219770359e-09,-10.579909510689054,10.579909034625603,5.170618699067741
1779563346.9400623,2.5701253414154053,0.03287100925605546,1.000000000478443,-1.5004790972081346e-09,1,3.0,1.0,2.9671289907439444,1.3392313924498467e-09,0.18,1.5401161013173236e-09,-10.579909512627962,10.579909032686697,5.167128990743945
1779563347.040554,2.67061710357666,0.03442794934544086,1.0000000004974323,-1.5007544325182417e-09,1,3.0,1.0,2.965572050654559,1.3330185844040443e-09,0.18,1.532971372064651e-09,-10.57990951151472,10.57990903379994,5.16557205065456
1779563347.1412334,2.771296501159668,0.038050507313312706,1.0000000005621388,-1.501656821792657e-09,1,3.0,1.0,2.961949492686687,1.3118701680525646e-09,0.18,1.5086506932604492e-09,-10.579909507725231,10.579909037589427,5.161949492686688
1779563347.2420444,2.87210750579834,0.040585684704050794,1.0000000005630534,-1.5016843553236677e-09,1,3.0,1.0,2.959414315295949,1.3114260788427146e-09,0.18,1.5081399906691216e-09,-10.579909507645658,10.579909037669001,5.159414315295949
1779563347.3428876,2.9729506969451904,0.04244824849056707,1.0000000005324585,-1.5012225025454236e-09,1,3.0,1.0,2.957551751509433,1.3211889360320583e-09,0.18,1.519367276436867e-09,-10.57990950939502,10.57990903591964,5.157551751509433
1779563347.443565,3.0736279487609863,0.046926930695680734,1.000000000455139,-1.5000820814545287e-09,1,3.0,1.0,2.9530730693043195,1.3459580117114456e-09,0.18,1.5478517134681623e-09,-10.579909513833273,10.579909031481384,5.15307306930432
1779563347.5444221,3.174485206604004,0.04859600965814017,1.0000000004586689,-1.5001691229396593e-09,1,3.0,1.0,2.9514039903418596,1.3447620794693194e-09,0.18,1.546476391389717e-09,-10.57990951361898,10.579909031695678,5.15140399034186
1779563347.6451125,3.2751755714416504,0.05148076517427923,1.0000000005034835,-1.500889435638036e-09,1,3.0,1.0,2.9485192348257208,1.330131560450809e-09,0.18,1.5296512945184302e-09,-10.579909510997405,10.579909034317252,5.148519234825721
1779563347.7458262,3.375889301300049,0.05585610350968735,1.0000000005433225,-1.5015759975564643e-09,1,3.0,1.0,2.9441438964903126,1.3170327051170716e-09,0.18,1.5145876108846322e-09,-10.579909508650282,10.579909036664375,5.144143896490313
1779563347.8508573,3.4809203147888184,0.05732448853788692,1.0000000005272838,-1.5013210903500103e-09,1,3.0,1.0,2.942675511462113,1.3221357342274587e-09,0.18,1.5204560943615773e-09,-10.57990950956467,10.579909035749987,5.142675511462113
1779563347.9516022,3.581665277481079,0.06051923575530067,1.0000000004638028,-1.5002721516363445e-09,1,3.0,1.0,2.939480764244699,1.342488342714887e-09,0.18,1.5438615941221199e-09,-10.57990951321156,10.5799090321031,5.139480764244699
1779563348.052435,3.682497978210449,0.062494039322025206,1.0000000004349665,-1.499823621534396e-09,1,3.0,1.0,2.9375059606779748,1.35175026727552e-09,0.18,1.5545128073668479e-09,-10.579909514871161,10.579909030443497,5.137505960677975
1779563348.153129,3.7831921577453613,0.062494039322025206,1.0000000004349665,-1.499823621534396e-09,1,3.0,1.0,2.9375059606779748,1.35175026727552e-09,0.18,1.5545128073668479e-09,-10.579909514871161,10.579909030443497,5.137505960677975
1779563348.2544296,3.8844926357269287,0.06522132481220067,1.0000000004387244,-1.4999319793015994e-09,1,3.0,1.0,2.9347786751877996,1.3504406481956721e-09,0.18,1.5530067454250228e-09,-10.579909514636496,10.579909030678161,5.1347786751878
1779563348.3554707,3.9855337142944336,0.06971387464670069,1.000000000509247,-1.5011665473049825e-09,1,3.0,1.0,2.9302861253532995,1.3273790955281584e-09,0.18,1.526485959857382e-09,-10.579909510504203,10.579909034810454,5.130286125353299
