EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m)
1763647062.8108516,2.128101348876953,0,100,0.2,0.0,-5.981066426858674e-20,6.90175811807282e-20,0.0,0.0,1763647062.6812587,-5.981066426858674e-20,6.90175811807282e-20,0.0, 292.35640811920166, 1763647062.7149282,1.0545582946873577
1763647062.8146424,2.131892204284668,0,100,0.2,0.0,0.0057605369947751305,6.90175811807282e-20,0.0,0.0,1763647062.6812587,None,None,None, None, 1763647062.7149282,1.0545582946873577
1763647063.0309558,2.34820556640625,0,100,0.2,0.0,0.017237368196584814,6.90175811807282e-20,0.07126988101059334,0.024922871635902795,1763647062.9839115,0.0007050700812117599,1.9383419326960707e-07,0.0005442349901016996, 293.3573031425476, 1763647062.952508,1.0002054355727168
1763647063.2150767,2.5323264598846436,0,100,0.2,0.0,0.0342991218281339,6.90175811807282e-20,0.012944298561313586,0.027915142622026535,1763647063.1753228,None,None,None, None, 1763647063.1903622,1.0298468916753583
1763647063.415681,2.7329306602478027,0,100,0.2,0.0,0.056733294371991136,6.90175811807282e-20,0.018844950092464802,0.032444679289246416,1763647063.3631318,None,None,None, None, 1763647063.3791578,0.9898490766322873
1763647063.6147597,2.93200945854187,0,100,0.2,0.0,0.08425698207070702,6.90175811807282e-20,0.02364409598726848,0.03839419403146517,1763647063.6005914,None,None,None, None, 1763647063.5843134,1.037361043551707
1763647063.8149354,3.132185220718384,0,100,0.2,0.0,0.11653118719857836,6.90175811807282e-20,0.02488297205656561,0.04372771040752705,1763647063.7275453,None,None,None, None, 1763647063.7892978,0.9391599952777924
1763647064.0151882,3.3324379920959473,0,100,0.2,0.0,0.15317716786717722,6.90175811807282e-20,0.029787419936578106,0.05229585192314535,1763647064.01019,0.06445936389144741,0.0011958821764573547,0.03440088444588607, 294.3647940158844, 1763647063.9949083,1.0194910214303292
1763647064.214703,3.5319528579711914,0,100,0.2,0.0,0.19379320649493648,6.90175811807282e-20,0.03033433949536558,0.058499620909782855,1763647064.152702,None,None,None, None, 1763647064.1853611,0.9820848425429237
1763647064.414467,3.7317168712615967,0,100,0.2,0.0,0.23797034438749462,6.90175811807282e-20,0.0314579622546989,0.0667342145001863,1763647064.3593395,None,None,None, None, 1763647064.3761265,1.0981611349966611
1763647064.615345,3.9325947761535645,0,100,0.2,0.0,0.28530599289307895,6.90175811807282e-20,0.035314242680217024,0.07577485575831237,1763647064.5664644,None,None,None, None, 1763647064.566357,0.923677802442877
1763647064.8150144,4.132264137268066,0,100,0.2,0.0,0.3354147795621393,6.90175811807282e-20,0.03453172724617764,0.08435771443135484,1763647064.7535872,None,None,None, None, 1763647064.7537928,0.9009034632674385
1763647065.0146015,4.331851243972778,0,100,0.2,0.0,0.3879364202964868,6.90175811807282e-20,0.03500221456965012,0.09349379027398799,1763647064.942767,0.21544603494150566,0.010843635889335528,0.09044967071040588, 295.3763289451599, 1763647065.005193,1.0485709974982782
1763647065.2151604,4.532410144805908,0,100,0.2,0.0,0.4425407556425357,6.90175811807282e-20,0.03575085468339293,0.10323208945941449,1763647065.1481729,None,None,None, None, 1763647065.1955943,0.9770925652172086
1763647065.4147308,4.731980562210083,0,100,0.2,0.0,0.4989303198770957,6.90175811807282e-20,0.03565171498367374,0.11273533687415167,1763647065.4154384,None,None,None, None, 1763647065.38415,0.9853972370180848
1763647065.6147034,4.931953191757202,0,100,0.2,0.0,0.5568409271458852,6.90175811807282e-20,0.03528472344564713,0.12195401836201548,1763647065.5880656,None,None,None, None, 1763647065.5721161,1.0604400821149513
1763647065.8148718,5.132121562957764,0,100,0.2,0.0,0.6160407819878214,6.90175811807282e-20,0.035499396740911335,0.1300055003536042,1763647065.777754,None,None,None, None, 1763647065.7938743,0.9563126426031918
1763647066.014582,5.331831693649292,0,100,0.2,0.0,0.6763285821843773,6.90175811807282e-20,0.0353960805195247,0.13838827801356837,1763647065.9993608,0.3996640700075038,0.032869930565231194,0.1462395571399764, 296.38588094711304, 1763647066.0154843,1.095909885443813
1763647066.2143528,5.531602621078491,0,100,0.2,0.0,0.7375310085401549,6.90175811807282e-20,0.034798686105160063,0.14586971874982385,1763647066.1903343,None,None,None, None, 1763647066.2051039,0.9710335271389138
1763647066.414423,5.731672763824463,0,100,0.2,0.0,0.7994999111068155,6.90175811807282e-20,0.16699161379878993,0.18329064719063964,1763647066.370783,None,None,None, None, 1763647066.4104238,1.0773529431896485
1763647066.6143823,5.931632041931152,0,100,0.2,0.0,0.8621094191252654,6.90175811807282e-20,0.036979392105952816,0.1922987966516761,1763647066.5991905,None,None,None, None, 1763647066.5841157,0.9497797559055134
1763647066.8144639,6.131713628768921,0,100,0.2,0.0,0.9252531305541732,6.90175811807282e-20,0.03562911875258128,0.19996879748192545,1763647066.7896068,None,None,None, None, 1763647066.7740598,1.075134508546335
