epoch [s],elapsed [s],x [m],y [m],z [m],roll [deg],pitch [deg],yaw [deg],broadcast
1778243629.369468,0.17591047286987305,6.320925910249236,-1.5042520606846552,0.027799999952464613,0.0,0.0,278.1972976979557,True
1778243629.446637,0.2530794143676758,6.3209401911163665,-1.5042992332230731,0.02780001630150743,0.0,0.0,278.19615106044864,True
1778243629.523588,0.3300304412841797,6.320944650084287,-1.5043139581791412,0.027800015411698506,0.0,0.0,278.19579297469886,True
1778243629.600971,0.4074134826660156,6.320949107178168,-1.5043286749950686,0.027800011350885334,0.0,0.0,278.1954350023797,True
1778243629.677392,0.48383450508117676,6.320953562537411,-1.5043433847885745,0.027800004955647276,0.0,0.0,278.1950771434334,True
1778243629.770698,0.5771405696868896,6.320969590995386,-1.5043963083317484,0.027799984050503223,0.0,0.0,278.19378978893405,True
1778243629.86515,0.6715924739837646,6.320974931049938,-1.504413945630439,0.027799984445502808,0.0,0.0,278.19336099649007,True
1778243629.942595,0.749037504196167,6.320979380088274,-1.50442864206184,0.027799988315693237,0.0,0.0,278.19300379370975,True
1778243630.017551,0.823993444442749,6.320993608533679,-1.5044756446151568,0.0278000101650446,0.0,0.0,278.1918615031776,True
1778243630.097561,0.904003381729126,6.320998051459038,-1.504490318743682,0.02780001478548268,0.0,0.0,278.1915047741078,True
1778243630.172676,0.9791185855865479,6.321002492500425,-1.5045049844860217,0.027800016362069354,0.0,0.0,278.1911481576243,True
1778243630.2385,1.0449426174163818,6.321006043993928,-1.5045167112244113,0.027800015190905226,0.0,0.0,278.1908629454545,True
1778243630.328946,1.1353886127471924,6.321021126713652,-1.5045665085638067,0.027799994150812045,0.0,0.0,278.1896515964223,True
1778243630.420708,1.2271504402160645,6.321026446845566,-1.5045840764904206,0.027799987042002317,0.0,0.0,278.189224371404,True
1778243630.498298,1.3047404289245605,6.321030879336333,-1.5045987156411151,0.027799983972437332,0.0,0.0,278.1888684739172,True
1778243630.576251,1.3826935291290283,6.321045056623458,-1.5046455487383585,0.027799995100100394,0.0,0.0,278.1877303548183,True
1778243630.637942,1.4443845748901367,6.321048598821128,-1.5046572500090738,0.027800001004854052,0.0,0.0,278.1874460041332,True
1778243630.715713,1.522155523300171,6.321053025035846,-1.504671870138249,0.027800008104976133,0.0,0.0,278.18709066640326,True
1778243630.793285,1.5997273921966553,6.321057449417512,-1.5046864821595562,0.02780001353514337,0.0,0.0,278.18673544040394,True
1778243630.869444,1.6758863925933838,6.321070711777935,-1.504730271794607,0.02780001161785269,0.0,0.0,278.1856704321134,True
1778243630.94795,1.754392385482788,6.3210751295281,-1.504744857198871,0.02780000535430389,0.0,0.0,278.18531565238953,True
1778243631.025364,1.8318064212799072,6.321079546147142,-1.5047594399494986,0.02779999799091709,0.0,0.0,278.1849609840717,True
1778243631.103658,1.9101004600524902,6.3210936732566605,-1.5048060978883921,0.027799983690390984,0.0,0.0,278.1838267931861,True
1778243631.198167,2.0046095848083496,6.3210989683543,-1.504823590272143,0.027799986236370696,0.0,0.0,278.1834017650439,True
1778243631.430251,2.2366933822631836,6.321120126365349,-1.5048934722819174,0.027800015142279352,0.0,0.0,278.1817032501576,True
1778243631.603372,2.4098145961761475,6.321144671702525,-1.5050256215990483,0.027800011844113803,0.0,0.0,278.17438802397925,True
1778243631.698333,2.5047755241394043,6.321377324212099,-1.5065937679353776,0.027799901923734768,0.0,0.0,278.0735175418779,True
1778243631.79109,2.5975325107574463,6.321518926375923,-1.507565960330925,0.027799803640206316,0.0,0.0,278.01177418366814,True
1778243631.893756,2.7001984119415283,6.3217202989439665,-1.5089583261685573,0.027799672267760787,0.0,0.0,277.9250105774729,True
1778243632.009513,2.815955400466919,6.322399170362355,-1.5137135182380175,0.027799597783757495,0.0,0.0,277.64375840040697,True
1778243632.119262,2.9257044792175293,6.322718011328328,-1.515975452669234,0.027799745657619165,0.0,0.0,277.5173327080404,True
