EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),APFMode,APFEncounter,APFSide,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),COLREGDCPA(m),COLREGTCPA(s)
1779824375.7524877,2.2240657806396484,-41.2820539430243,-20.278062477344662,0.2,6.28318530560007,-4.708891541581114e-05,1.0000000006310434,1.5912720601959941e-12,6.283185305600345,1779824375.710218,-4.708891541581114e-05,1.0000000006310434,6.283185305600027, 1779824375.141496, 1779824375.7758229,0.9283055412779652,side_lock_avoid,static_obstacle,1.0,1.1150873392842855,0.9940943926025634,1.115115536199716,nan,nan
1779824375.7788293,2.2504074573516846,-80.00863200184263,36.50127754842195,0.2,0.0009010360822951929,0.0014307030890281984,1.0000012941896763,1.5912720601959941e-12,6.283185305600663,1779824375.710218,None,None,None, None, 1779824375.7758229,0.9283055412779652,side_lock_avoid,static_obstacle,1.0,1.1150196297821735,0.9940945114393503,1.1150949130038503,nan,nan
1779824375.9789684,2.4505465030670166,-132.74641736834832,96.4907921169885,0.2,0.0005877280898773339,0.008892401462608761,1.000017876121929,-0.013389254831312515,6.279681303635583,1779824375.9719205,None,None,None, None, 1779824375.9150236,1.0713037969912098,side_lock_avoid,static_obstacle,1.0,1.1164356511380764,0.9950997882573891,1.1150293479302917,nan,nan
1779824376.1794286,2.6510066986083984,-132.75615959283226,95.86195557898786,0.2,-0.002835757527120182,0.004649925881929681,0.9999994374543034,-0.020004102411310405,6.275951009251609,1779824376.158397,0.0025435126233361075,0.9999948861287287,6.278039519532, 1779824376.142713, 1779824376.1281815,1.0436100511399893,side_lock_avoid,static_obstacle,1.0,1.1229148818472279,1.0006803159263225,1.1140223503112794,nan,nan
1779824376.3797178,2.8512959480285645,-125.15706286239514,51.421086646993395,0.2,6.279006068737671,0.030989778902536107,0.9999468437116494,-0.02770413176415455,6.269847215504137,1779824376.3787177,None,None,None, None, 1779824376.3787177,1.0654910790878023,colreg_avoid,head_on,1.0,1.108366404484424,1.002701887177128,1.1037234259184596,0.05478326843151428,6.302652966890707
1779824376.5793204,3.050898551940918,-125.19646084487024,51.370442382631815,0.2,6.276497262500525,0.06329659297857648,0.9998519053444141,-0.03912144034655274,6.262627230597955,1779824376.5632708,None,None,None, None, 1779824376.577816,0.9991661885323867,colreg_avoid,crossing_from_port,1.0,1.117167564373009,1.0126064815366203,1.086239824042781,0.22814627296212497,5.526951431727786
1779824376.7797174,3.251295566558838,-125.25243148706156,51.29846776254145,0.2,6.272954843052272,0.09939290582070273,0.9996466201794441,-0.043222659457558994,6.253921391694447,1779824376.7646892,None,None,None, None, 1779824376.7646892,1.056512974268763,colreg_avoid,crossing_from_port,1.0,1.1303564951528988,1.0321367204992782,1.067551868176737,0.4357297945315643,4.622296340021287
1779824376.9798882,3.4514663219451904,-125.31594249880264,51.21675833823852,0.2,6.268986740436125,0.13766523854256016,0.999282395473152,-0.04270272970852396,6.2459185597880165,1779824376.9520972,None,None,None, None, 1779824376.9693632,1.095175225488295,colreg_avoid,overtaking,1.0,1.1563552128468007,1.0333980595744985,1.0574922277594192,0.27792350567291196,6.671268594858444
1779824377.179332,3.6509101390838623,-125.67440346515671,50.754817548140494,0.2,6.247899547121525,0.09571615173208642,0.9983498801814243,-0.0377888000253467,6.238242790868836,1779824377.15522,0.09120865552709453,0.9983279684778006,6.2169324726638395, 1779824377.154159, 1779824377.1697505,1.0569989924140455,side_lock_avoid,crossing_from_port,1.0,1.1810669920546235,1.0393869251786239,1.0441592200070764,1.086126367257024,0.0
1779824377.3792853,3.850863456726074,-125.73235278385798,50.680016974089426,0.2,6.245029635343114,0.126780358944795,0.9972738224118949,-0.0403967677339483,6.230040905488764,1779824377.3582532,None,None,None, None, 1779824377.3582532,0.9751322149220137,colreg_avoid,head_on,1.0,1.1216335999511693,1.037642574994792,1.026647128049121,0.15920718366419065,3.4046921467336477
1779824377.5800443,4.05162239074707,-132.17669757746265,84.04804774721309,0.2,6.241674075485654,0.16211497005220354,0.9959489924986826,-0.04049867338951264,6.222499882610787,1779824377.5444574,None,None,None, None, 1779824377.5444574,1.0409681548694172,side_lock_avoid,static_obstacle,1.0,1.1436050582682276,1.038553620775752,1.0176253082007778,nan,nan
1779824377.7794783,4.251056432723999,-125.8738740517152,50.49719858504287,0.2,6.237850573085571,0.2026371597050476,0.9942701760089676,-0.03711478707934877,6.215006159133318,1779824377.746364,None,None,None, None, 1779824377.746364,0.9610797588389454,colreg_avoid,crossing_from_port,1.0,1.161952247486319,1.0540856187507273,1.0014954433760404,0.4253706353244403,4.665407422423673
1779824377.979637,4.451215028762817,-125.9458675162107,50.4041184502384,0.2,6.234266492575051,0.24320807819324575,0.9924508900076674,-0.03719909874475077,6.206877361611963,1779824377.9648855,None,None,None, None, 1779824377.9648855,0.9573481254372886,colreg_avoid,crossing_from_port,1.0,1.1874382890149113,1.0579049846942536,0.9868901577634046,0.39577233369755177,5.326335845570173
1779824378.17995,4.6515281200408936,-126.50448392137244,49.680083042765496,0.2,6.203894463185315,0.2008096014484893,0.9908368682978329,-0.04423682759173874,6.198007001782398,1779824378.1654053,0.19537453383414222,0.9908593284333195,6.145427509077536, 1779824378.164396, 1779824378.1542642,1.0909934133778376,colreg_avoid,overtaking,1.0,1.213019099395636,1.0667347482646865,0.9726767694844123,0.7393216934609468,6.410537099777871
1779824378.3790166,4.850594758987427,-126.58776835626745,49.57186186217667,0.2,6.200500452757073,0.23226419398939013,0.9883521200909158,-0.042007946733180535,6.189476651486438,1779824378.3684704,None,None,None, None, 1779824378.371476,1.0931073843883055,colreg_avoid,head_on,1.0,1.1648121710603239,1.0452930671136718,0.9655635171335556,0.015419794429385748,3.5001143594081827
1779824378.5804062,5.0519843101501465,-126.67892899618906,49.45332433770486,0.2,6.196704890495763,0.26779849750370976,0.9854272155442381,-0.042753031196699126,6.182927339404244,1779824378.5216599,None,None,None, None, 1779824378.5216599,0.9857228847794577,colreg_avoid,overtaking,1.0,1.1872698853991202,1.048913745092443,0.956927823153781,0.19398497538394596,6.990692619557779
1779824378.7799478,5.25152587890625,-126.77552695275621,49.32762310038239,0.2,6.192620720100549,0.3057001480727215,0.9821635413543461,-0.043335234065066695,6.1742297700185995,1779824378.7223642,None,None,None, None, 1779824378.7223642,1.0038639521463433,colreg_avoid,crossing_from_port,1.0,1.2102013351750907,1.061188144398511,0.9454291928618073,0.4401375957974414,4.9664923323413595
1779824378.97936,5.4509382247924805,-126.87595473325112,49.1968360543654,0.2,6.188362345978458,0.3448764339130923,0.9786286630657983,-0.04356006619034746,6.164741228693614,1779824378.9401908,None,None,None, None, 1779824378.9250815,1.0457052343200361,colreg_avoid,overtaking,1.0,1.241507409892529,1.0682350207068951,0.9397040416255991,0.5086821909947387,5.350484080559762
1779824379.179541,5.651119232177734,-127.54539323651765,48.32235624859697,0.2,6.154663935830413,0.29289238990775945,0.9780774104116188,-0.040627904661535104,6.156977608986772,1779824379.1312816,0.2869189048110036,0.9782865081693788,6.079731302096396, 1779824379.172449, 1779824379.1312816,1.0626598829336162,side_lock_avoid,crossing_from_port,1.0,1.269837205457136,1.074068768640584,0.9299436598247561,0.877056216572829,6.093588582580171
1779824379.379658,5.85123610496521,-127.65205624549411,48.182592967367256,0.2,6.151021227141621,0.32261980383368805,0.9742516734402038,-0.04459154466613527,6.147422792852953,1779824379.3455558,None,None,None, None, 1779824379.3455558,0.9047371324353237,colreg_avoid,head_on,1.0,1.2110924220229335,1.0558881316033293,0.9215270540288498,0.10678535671923971,3.0788285610996167
1779824379.580535,6.052113056182861,-128.15217129552795,47.52569167829218,0.2,6.124322122716537,0.3570111963111007,0.9696990998270856,-0.265496753155124,6.0993830105977755,1779824379.5264988,None,None,None, None, 1779824379.5634825,0.989459908642013,colreg_avoid,crossing_from_port,1.0,1.2301442743562687,1.0715129553398315,0.9126252628299174,0.4524809128731113,3.6253816312795726
1779824379.7796419,6.251219987869263,-128.42181357869993,47.17042618030694,0.2,6.111795223556919,0.3939906518745822,0.9634573241958693,-0.044615853405154324,6.090116563147009,1779824379.7341928,None,None,None, None, 1779824379.7649813,0.9065098829999161,colreg_avoid,crossing_from_port,1.0,1.2996484704864477,1.0292640783342646,0.9080344563690598,0.6477042860631134,8.75068279654975
1779824379.9798744,6.4514524936676025,-128.63099945275687,46.89428615820617,0.2,6.10295685702752,0.43244622247819636,0.9566370597657716,-0.04648087066486511,6.080815643743112,1779824379.934295,None,None,None, None, 1779824379.9528284,0.9554170462836985,colreg_avoid,overtaking,1.0,1.2919368914416125,1.0473811800650832,0.9018257437558967,0.4348100338497063,6.272390758103585
1779824380.1798787,6.651456832885742,-128.8032791159927,46.6665171466846,0.2,6.096389929851644,0.4716594257496507,0.9494128659103716,-0.04333972768560149,6.0720268724137325,1779824380.1370828,None,None,None, None, 1779824380.1532733,1.0926192155304872,colreg_avoid,overtaking,1.0,1.322333042600182,1.0503765118693722,0.8946681716128978,0.5401520039666395,4.590087292306169
1779824380.3797002,6.851278305053711,-129.4702346335416,45.78176646763636,0.2,6.067064100281725,0.3934845705995289,0.9565050207833853,-0.03967773808074643,6.063934089742569,1779824380.3410456,0.3881738091222705,0.9571634901166219,6.004693058032353, 1779824380.182932, 1779824380.3500793,1.0501118285616982,side_lock_avoid,crossing_from_port,1.0,1.3556583362098065,1.045747618604063,0.8891851001217868,0.8845121850432991,10.175865544037848
1779824380.579744,7.0513222217559814,-129.6191944144452,45.58351449395687,0.2,6.06283509701136,0.42107383979723306,0.9504477918750069,-0.04396283927137391,6.055069501009216,1779824380.5426838,None,None,None, None, 1779824380.5426838,0.9363618682326867,active_avoid,head_on,1.0,1.2697664112725124,1.0488474698984298,0.8808731210380201,0.19857029187854672,2.5834600524107345
1779824380.7801254,7.251703500747681,-129.76604475822245,45.38783693163471,0.2,6.058789871411461,0.453875775858652,0.9431158412886518,-0.043464735903831174,6.0463147583760595,1779824380.7441056,None,None,None, None, 1779824380.7441056,1.0657972972694763,side_lock_avoid,static_obstacle,1.0,1.2879434027930121,1.0560607610397397,0.8729467951449345,nan,nan
