EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m)
1764330889.5633054,2.159201145172119,[-0.50647392],[-0.50647392],0.2,0.01934123293119772,0.11110457893490745,0.0018168587796892233,0.0,0.01934123293119772,1764330889.560608,0.11110457893490745,0.0018168587796892233,0.01934123293119772, 21.132703065872192, 1764330889.5405078,1.010171167072542
1764330889.5700707,2.165966510772705,[-0.48900758],[-0.49740675],0.2,0.01934123293119772,0.11110457893490745,0.0018168587796892233,0.0,0.01934123293119772,1764330889.560608,None,None,None, None, 1764330889.5405078,1.010171167072542
1764330889.7708547,2.366750478744507,0.0,0.0,0.2,0.01934123293119772,0.11110457893490745,0.0018168587796892233,0.0,0.01934123293119772,1764330889.74407,None,None,None, None, 1764330889.7392335,1.0004145144000096
1764330889.9707222,2.566617965698242,0.0,0.0,0.2,0.01934123293119772,0.11110457893490745,0.0018168587796892233,0.0,0.01934123293119772,1764330889.955559,None,None,None, None, 1764330889.9619792,0.9714069777601783
1764330890.1712096,2.7671053409576416,0.0,0.0,0.2,0.01934123293119772,0.11110457893490745,0.0018168587796892233,0.0,0.01934123293119772,1764330890.0890152,None,None,None, None, 1764330890.1088302,0.9004115933442538
1764330890.3735197,2.9694154262542725,[3.4995952],0.0,0.2,0.01934123293119772,0.11110457893490745,0.0018168587796892233,0.0,0.01934123293119772,1764330890.317412,None,None,None, None, 1764330890.3371565,1.0004894324888371
1764330890.5715623,3.1674580574035645,[3.74687835],0.0,0.2,0.01934123293119772,0.11110457893490745,0.0018168587796892233,0.00019520027236328424,0.019390843156668953,1764330890.5607285,0.11837518390265946,0.0019574987813834087,0.01934123293115242, 22.136194944381714, 1764330890.55511,0.9785147374989657
1764330890.7709885,3.366884231567383,[4.07727219],0.0,0.2,0.01934123293119772,0.11136298918269054,0.0018218573757960439,0.00036559378473812035,0.0194677128745525,1764330890.7677412,None,None,None, None, 1764330890.7678392,1.0087062859019087
1764330890.9810724,3.576968193054199,[4.51313965],0.0,0.2,0.01934123293119772,0.11176927485345468,0.0018297164215945812,0.0005320765995467709,0.019581221426015642,1764330890.9798396,None,None,None, None, 1764330890.9796913,0.9849990887022866
1764330891.1739473,3.769843101501465,[4.99106779],[3.43559531],0.2,0.01934123293119772,0.11234137555643886,0.001840782934518041,0.0005218298052183267,0.019682512646306084,1764330891.1772277,None,None,None, None, 1764330891.1782112,0.9228228121866695
1764330891.37281,3.968705654144287,[5.55951782],[3.73224796],0.2,0.01934123293119772,0.1132204518817996,0.0018577874749155059,0.0010679693002837109,0.019960167849029174,1764330891.3766842,None,None,None, None, 1764330891.3768227,0.9865167740523689
1764330891.5726986,4.1685943603515625,[6.20604887],[4.08838807],0.2,0.01934123293119772,0.11444189972301119,0.0018814147283860792,0.00115757300412009,0.020277594194541736,1764330891.524721,0.12500508618432563,0.0020868347566205137,0.019857015989929394, 23.143511056900024, 1764330891.524578,0.9897939763870991
1764330891.7711053,4.367001056671143,[6.91948857],[4.49671456],0.2,0.01934123293119772,0.1160466473709734,0.001912456397260863,0.003357175936491509,0.021104749913751795,1764330891.7450633,None,None,None, None, 1764330891.7569454,0.9190601284826683
1764330891.9716828,4.567578554153442,[7.7108189],[4.96268581],0.2,0.01934123293119772,0.11808033474217264,0.00195179532388385,0.001663225831522674,0.021481669290207686,1764330891.933545,None,None,None, None, 1764330891.9335,1.00572446750097
1764330892.1927807,4.788676500320435,[8.66556835],[5.53934865],0.2,0.01934123293119772,0.12059393252946136,0.002000417467244825,0.0021170734684568607,0.022030490144444345,1764330892.1619914,None,None,None, None, 1764330892.116934,0.9638789662765648
1764330892.3726988,4.968594551086426,[9.48963612],[6.04078306],0.2,0.01934123293119772,0.12364954500802419,0.0020595241503981866,0.0028491683670180275,0.022630831077502103,1764330892.366818,None,None,None, None, 1764330892.33593,0.9817483635741215
1764330892.575311,5.171206712722778,[10.44845734],[6.6274362],0.2,0.01934123293119772,0.12729977520917612,0.002130132907709518,0.0033053170558047856,0.023319966527605703,1764330892.513339,0.13129657723440077,0.002217758669570128,0.022075442009789725, 24.14562487602234, 1764330892.5046322,1.0405156022951099
