EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m)
1781560010.9568632,2.286823272705078,-126.0838771245489,126.08387712454896,0.2,0.0,0.0,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560010.9789162,2.3088762760162354,-126.0838771245489,126.08387712454896,0.2,0.0,0.01570957372408181,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560011.1795871,2.509547233581543,-126.0838771245489,126.08387712454896,0.2,0.0,0.04559321302059445,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560011.3795917,2.7095518112182617,-126.0838771245489,126.08387712454896,0.2,0.0,0.08563006706240296,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560011.5800853,2.9100453853607178,-126.0838771245489,126.08387712454896,0.2,0.0,0.13140309535667116,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560011.7797232,3.1096832752227783,-126.0838771245489,126.08387712454896,0.2,0.0,0.17984974945951113,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560011.9802823,3.3102424144744873,-126.0838771245489,126.08387712454896,0.2,0.0,0.229402680823634,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560012.1798022,3.5097622871398926,-126.0838771245489,126.08387712454896,0.2,0.0,0.2793873434829639,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560012.3798862,3.709846258163452,-126.0838771245489,126.08387712454896,0.2,0.0,0.32953636046917334,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560012.5795293,3.909489393234253,-126.0838771245489,126.08387712454896,0.2,0.0,0.37974733539301847,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560012.7796214,4.109581470489502,-126.0838771245489,126.08387712454896,0.2,0.0,0.42998157984324314,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560012.979612,4.309572219848633,-126.0838771245489,126.08387712454896,0.2,0.0,0.48022455128408653,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560013.1790767,4.5090367794036865,-126.0838771245489,126.08387712454896,0.2,0.0,0.5304707939534202,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560013.3794053,4.709365367889404,-126.08387714183644,126.08387710726143,0.2,7.903166910709675e-11,0.5807182625670853,1.0,2.918212846555859e-11,5.836425693111719e-12,1781560013.3530042,None,None,None, None, 1781560013.3227763,0.9518515255367469,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560013.579647,4.909607172012329,-126.08387709849785,126.08387715060005,0.2,-1.2068355501202137e-10,0.6309661905883687,1.0000000000039713,-1.2148166970479276e-10,6.28318530716295,1781560013.5379972,None,None,None, None, 1781560013.578144,0.9454153608190125,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560013.7802544,5.110214471817017,-126.08387749701609,126.0838767520818,0.2,6.283185308883192,0.6812142907622112,0.9999999999979071,2.4657279791962915e-09,5.545333081613535e-10,1781560013.7696407,None,None,None, None, 1781560013.760742,0.9625813701361658,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560013.9797623,5.309722423553467,-126.08387715790025,126.08387709119762,0.2,1.1906483558924183e-10,0.7314624554456345,1.00000000008351,-2.2080437433659463e-09,1.0161813127384806e-10,1781560013.9747612,None,None,None, None, 1781560013.9692533,0.9115491449820048,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560014.18028,5.510240077972412,-126.08387724609017,126.08387700300773,0.2,5.198400521431423e-10,0.7817106443022079,1.0000000000894929,1.084838901384494e-09,2.951301562020465e-10,1781560014.1531398,None,None,None, None, 1781560014.1626577,0.9777833169565442,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560014.3793945,5.709354639053345,-126.08387695132713,126.08387729777077,0.2,6.283185306049568,0.06967556852856852,1.0000000008452965,1.5746117764792355e-09,6.2831853063272,1781560014.3475096,0.06964950103711562,1.0000000008453267,6.283185306021142, 1781560014.205413, 1781560014.3583689,1.0372803652312441,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560014.5791724,5.909132480621338,-126.08387691928293,126.08387732981497,0.2,6.283185305916238,0.09879662190171419,1.0000000008123893,-1.6562437966326605e-09,6.283185306020656,1781560014.532593,None,None,None, None, 1781560014.550126,1.0872325254836592,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560014.780548,6.11050820350647,-126.08387696475883,126.08387728433907,0.2,6.283185306144124,0.13835085174588732,1.0000000007624186,2.2481158690410027e-09,6.2831853065656915,1781560014.775034,None,None,None, None, 1781560014.7329454,0.9202485472560202,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560014.9792686,6.3092286586761475,-126.08387694895269,126.0838773001452,0.2,6.283185306090721,0.18388025525678486,1.0000000007152745,-6.744508004813367e-12,6.283185306564426,1781560014.962729,None,None,None, None, 1781560014.9792686,1.0959557309131505,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560015.1796288,6.509588956832886,-126.08387692672076,126.08387732237713,0.2,6.283185306010141,0.23222168172275248,1.0000000006626373,-5.964063288948926e-10,6.2831853064536,1781560015.1485515,None,None,None, None, 1781560015.159061,1.0998846432900253,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560015.3799229,6.709882974624634,-126.08387697969414,126.08387726940376,0.2,6.283185306233757,0.2029134183362743,1.0000000007090284,1.1175552208504484e-09,6.28318530666417,1781560015.3369715,0.19966791666800662,1.0000000007133227,6.283185306307996, 1781560015.213751, 1781560015.3522246,1.0615784897590868,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560015.5796483,6.909608364105225,-126.08387696884714,126.08387728025073,0.2,6.283185306200278,0.24548972038422393,1.0000000006687584,-1.9846544046950807e-10,6.283185306627261,1781560015.5229437,None,None,None, None, 1781560015.5449548,1.0211763626150592,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560015.7802362,7.110196352005005,-126.08387696641968,126.08387728267822,0.2,6.283185306207594,0.2924968920976712,1.0000000006227239,1.8532406444679853e-11,6.283185306631801,1781560015.767952,None,None,None, None, 1781560015.774005,0.9296518752969065,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560015.979504,7.3094642162323,-126.08387698530278,126.08387726379509,0.2,6.283185306312959,0.34146525623704593,1.000000000575127,9.040589331267809e-10,6.283185306792149,1781560015.9453154,None,None,None, None, 1781560015.9453154,0.996699819546652,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560016.1801097,7.510069847106934,-126.08387695867128,126.08387729042659,0.2,6.283185306208459,0.39122368557528436,1.000000000532005,-7.585606155383432e-10,6.2831853066512435,1781560016.1310687,None,None,None, None, 1781560016.1660464,1.0434247118121192,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560016.3796883,7.709648370742798,-126.08387697827634,126.08387727082155,0.2,6.283185306362082,0.34398811779227173,1.0000000003720135,2.461182794203386e-10,6.283185306701957,1781560016.3371215,0.33780712791348655,1.0000000003649383,6.28318530652308, 1781560016.223503, 1781560016.3441718,0.9193008729175601,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781560016.5795524,7.909512519836426,-126.08387699326461,126.08387725583324,0.2,6.283185306444125,0.3853409717036429,1.0000000003382075,7.826934117878994e-10,6.283185306844625,1781560016.5194004,None,None,None, None, 1781560016.5389416,0.9104170112824403,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
