EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m)
1763744835.6222255,2.123483419418335,[8.24269468e-40],[8.24269468e-40],0.2,0.0,-9.905923359829419e-20,-1.9660769916599776e-20,0.0,0.0,1763744835.488355,-9.905923359829419e-20,-1.9660769916599776e-20,0.0, 2080.9832508563995, 1763744835.6181939,1.0966691002250661
1763744835.6315067,2.1327645778656006,[-0.00032396],[0.00032437],0.2,0.0,-9.905923359829419e-20,-1.9660769916599776e-20,0.0,0.0,1763744835.6311219,None,None,None, None, 1763744835.6181939,1.0966691002250661
1763744835.830464,2.331721782684326,[-0.00726407],[0.00746643],0.2,0.0,-9.905923359829419e-20,-1.9660769916599776e-20,0.0,0.0,1763744835.7699142,None,None,None, None, 1763744835.826193,1.075716260032573
1763744836.0302637,2.5315215587615967,[-0.01422472],[0.0150017],0.2,0.0,-9.905923359829419e-20,-1.9660769916599776e-20,0.0,0.0,1763744835.9668567,None,None,None, None, 1763744836.0200973,0.9743098492018877
1763744836.2304556,2.7317135334014893,[-0.02119013],[0.02291654],0.2,0.0,-9.905923359829419e-20,-1.9660769916599776e-20,0.0,0.0,1763744836.2220826,3.6924091666179864e-20,6.122680616766573e-20,0.0, 2081.990061044693, 1763744836.216102,1.0271407514697095
1763744836.4305983,2.931856155395508,[-0.02814492],[0.03119443],0.2,0.0,-9.905923359829419e-20,-1.9660769916599776e-20,0.0,0.0,1763744836.394688,None,None,None, None, 1763744836.4048786,0.9368214150698173
1763744836.6308596,3.132117509841919,[-0.03509493],[0.03984253],0.2,0.0,-9.905923359829419e-20,-1.9660769916599776e-20,0.0,0.0,1763744836.5818932,None,None,None, None, 1763744836.5729094,0.9396811493044274
1763744836.8314304,3.332688331604004,[-0.04204675],[0.04887024],0.2,0.0,-9.905923359829419e-20,-1.9660769916599776e-20,0.0,0.0,1763744836.819815,None,None,None, None, 1763744836.819954,1.0498672465468113
1763744837.030342,3.531599998474121,[-0.04893223],[0.05818526],0.2,0.0,-9.905923359829419e-20,-1.9660769916599776e-20,0.0,0.0,1763744837.0266676,None,None,None, None, 1763744837.0124943,1.0176603883686608
1763744837.2303908,3.7316486835479736,[-0.0558482],[0.06791711],0.2,0.0,-9.905923359829419e-20,-1.9660769916599776e-20,0.0,0.0,1763744837.231694,5.647028890948583e-20,1.1591868778655191e-20,0.0, 2082.995246887207, 1763744837.190403,1.0815914133928066
