EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m)
1763649868.262149,2.213263511657715,-100,100,0.2,0.0,0.0,0.0,None,0,0,None,None,None, None, None,None
1763649868.679655,2.6307694911956787,-100,100,0.2,0.0,0.0028269738394453114,0.0,None,0,0,None,None,None, None, None,None
1763649868.9703457,2.9214601516723633,-100,100,0.2,0.0,0.008470266354714843,0.0,None,0,0,None,None,None, None, None,None
1763649869.2716737,3.222788095474243,-100,100,0.2,0.0,0.0168980725453343,0.0,None,0,0,None,None,None, None, None,None
1763649869.5499148,3.5010292530059814,-100,100,0.2,0.0,0.02805815352510359,0.0,None,0,0,None,None,None, None, None,None
1763649869.836319,3.787433385848999,-100,100,0.2,0.0,0.04187915362003769,0.0,None,0,0,None,None,None, None, None,None
1763649870.1071997,4.058314085006714,-100,100,0.2,0.0,0.05827244717752987,0.0,None,0,0,None,None,None, None, None,None
1763649870.3814812,4.332595586776733,-100,100,0.2,0.0,0.07713441278609781,0.0,None,0,0,None,None,None, None, None,None
1763649870.6430361,4.594150543212891,-100,100,0.2,0.0,0.09834901147825967,0.0,None,0,0,None,None,None, None, None,None
1763649870.9093497,4.860464096069336,-100,100,0.2,0.0,0.12179053574315435,0.0,None,0,0,None,None,None, None, None,None
1763649871.2018433,5.1529576778411865,-100,100,0.2,0.0,0.1473263978733222,0.0,None,0,0,None,None,None, None, None,None
1763649871.5164387,5.46755313873291,-100,100,0.2,0.0,0.17481983793094225,0.0,None,0,0,None,None,None, None, None,None
1763649871.811393,5.762507438659668,-100,100,0.2,0.0,0.20413245100011923,0.0,None,0,0,None,None,None, None, None,None
1763649872.1041024,6.0552167892456055,-100,100,0.2,0.0,0.23512645740331328,0.0,None,0,0,None,None,None, None, None,None
1763649872.3682098,6.319324254989624,-100,100,0.2,0.0,0.26766666518509863,0.0,None,0,0,None,None,None, None, None,None
1763649872.6630867,6.614201068878174,-100,100,0.2,0.0,0.30162209878580754,0.0,None,0,0,None,None,None, None, None,None
