EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),ObstacleClusters
1781618282.8482263,2.1578328609466553,-200.0,200.0,0.2,6.283185305759654,-5.039859148848368e-05,1.000000000603662,,6.283185305759654,0,-5.039859148848368e-05,1.000000000603662,6.283185305759654,1781618282.347812,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618282.8527386,2.1623451709747314,-200.0,200.0,0.2,6.283185305759654,0.030167264454414637,1.000000000560755,,6.283185305759654,0,,,,,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618283.0529006,2.3625071048736572,-200.0,200.0,0.2,6.283185305759654,0.08492132520684645,1.0000000004830079,,6.283185305759654,0,,,,,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618283.252792,2.5623984336853027,-200.0,200.0,0.2,6.283185305759654,0.1512397353934633,1.00000000038884,,6.283185305759654,0,,,,,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618283.4535031,2.7631096839904785,-200.0,200.0,0.2,6.283185305759894,0.010123528177669788,1.0000000005736052,,6.283185305759654,0,-5.016931603868519e-05,1.000000000587296,6.283185305759909,1781618283.35777,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618283.6536934,2.9632999897003174,-200.0,200.0,0.2,6.283185305759894,0.05741686293022547,1.000000000506463,,6.283185305759654,0,,,,,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618283.853313,3.162919521331787,-200.0,200.0,0.2,6.283185305759894,0.12101157935572701,1.0000000004161782,,6.283185305759654,0,,,,,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618284.0536485,3.363255023956299,-200.0,200.0,0.2,6.283185305759894,0.18966078630855182,1.0000000003187175,,6.283185305759654,0,,,,,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618284.2538168,3.5634233951568604,-200.0,200.0,0.2,6.283185305759894,0.25920560333156367,1.0000000002199854,,6.283185305759654,0,,,,,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618284.4535966,3.7632031440734863,-200.0,200.0,0.2,6.283185305760158,0.01879178731985298,1.0000000005297824,,6.283185305759654,0,-5.0264343045604264e-05,1.0000000005546172,6.283185305760203,1781618284.362182,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618284.6542118,3.963818311691284,-200.0,200.0,0.2,6.283185305760158,0.06068364283946367,1.00000000047032,,6.283185305759654,0,,,,,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618284.8535795,4.163186073303223,-200.0,200.0,0.2,6.283185305760158,0.12187417012925675,1.0000000003834644,,6.283185305759654,0,,,,,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618285.053414,4.363020658493042,-200.0,200.0,0.2,6.283185305760158,0.18998580481735766,1.0000000002867848,,6.283185305759654,0,,,,,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618285.2541149,4.563721418380737,-200.0,200.0,0.2,6.283185305760158,0.25945047673148885,1.0000000001881848,,6.283185305759654,0,,,,,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618285.4537475,4.763354063034058,-200.0,200.0,0.2,6.283185305760406,0.02012120520410421,1.000000000529469,,6.283185305759654,0,-5.063746522451302e-05,1.0000000005582041,6.2831853057604885,1781618285.366529,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618285.6538696,4.963476181030273,-200.0,200.0,0.2,6.283185305760406,0.06155735533236495,1.0000000004706635,,6.283185305759654,0,,,,,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618285.853022,5.162628650665283,-200.0,200.0,0.2,6.283185305760406,0.12252844173503008,1.0000000003841345,,6.283185305759654,0,,,,,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618286.0532262,5.36283278465271,-200.0,200.0,0.2,6.283185305760406,0.19058742769722953,1.0000000002875464,,6.283185305759654,0,,,,,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618286.2533453,5.5629518032073975,-200.0,200.0,0.2,6.283185305760406,0.26004405702180977,1.0000000001889748,,6.283185305759654,0,,,,,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781618286.4536602,5.7632668018341064,-200.0,200.0,0.2,6.2831853057606954,0.020093876586445514,1.000000000557308,,6.283185305759654,0,-5.084402436661046e-05,1.0000000005877059,6.283185305760821,1781618286.376327,,,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
