EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m)
1767669544.1693017,2.166293144226074,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1767669544.149292,None,None,None, None, 1767669544.1527944,0.9649630604671376
1767669544.1738048,2.1707961559295654,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1767669544.149292,None,None,None, None, 1767669544.1527944,0.9649630604671376
1767669544.3754883,2.3724796772003174,-35.34490365345512,20.633494169197313,0.2,0.0,8.617773620755998e-06,0.0,0.0,0.0,1767669544.3514528,None,None,None, None, 1767669544.3589573,1.0105922036014328
1767669544.5744514,2.5714428424835205,-57.31378778614351,31.9698563862086,0.2,0.0,0.019397729079682482,0.0,-0.0021079166621318477,6.2826454979939905,1767669544.5413635,None,None,None, None, 1767669544.5639303,1.0368071856139167
1767669544.7748897,2.771881103515625,-64.66171395840203,35.9385662136489,0.2,6.282879383252309,0.02885616759171363,-8.30027305467521e-06,-0.006079519657266543,6.281086183786929,1767669544.7519295,None,None,None, None, 1767669544.74291,1.0907258622007239
1767669544.9748206,2.9718120098114014,-70.51197140515258,39.30912738992062,0.2,6.281591189618933,0.038406195625315886,-3.467287002401065e-05,-0.010223768545812063,6.278316976718413,1767669544.926852,None,None,None, None, 1767669544.937217,0.9960167434815609
1767669545.1759422,3.172933578491211,-74.62424539517062,42.03658766498041,0.2,6.279795667515198,0.05073426362254477,-0.00010118780341983324,-0.01828055452277762,6.272926713474779,1767669545.1290593,None,None,None, None, 1767669545.1377857,1.0112728528694257
1767669545.3754704,3.3724617958068848,-76.77407713388392,44.008591185382606,0.2,6.276555714602397,0.06618515370728735,-0.0002518640728625954,-0.024322518099827026,6.265953656046891,1767669545.3341887,None,None,None, None, 1767669545.3341887,0.987119522406086
1767669545.5756476,3.572638988494873,-77.26195879452108,45.29394578573479,0.2,6.272413175911125,0.08382447006479396,-0.0005143939455498625,-0.025683963507849926,6.258796181601963,1767669545.5374284,None,None,None, None, 1767669545.5279121,0.9828801305970128
1767669545.7750645,3.7720558643341064,-76.16592051984641,46.00692350619291,0.2,6.268256205129386,0.10388909769514468,-0.0009022830672318349,-0.03243957518396171,6.249652790207061,1767669545.7308414,None,None,None, None, 1767669545.7719865,1.0427890786755625
1767669545.9755871,3.972578525543213,-61.600268320037934,41.02422417567835,0.2,6.263044068395858,0.12537039191825036,-0.0014560756435733069,-0.03938633588085237,6.241189489920884,1767669545.9299877,0.11982326095848919,-0.0018397586497199002,6.252585580054065, 1767669545.971059, 1767669545.955013,0.942988949423046
1767669546.1760714,4.173062801361084,-58.83882868483478,40.585346696984416,0.2,6.252663393300538,0.16814538771270288,-0.003175498872347582,-0.04801275345958872,6.228172360351335,1767669546.1500342,None,None,None, None, 1767669546.14153,0.9830718581952879
1767669546.3743155,4.371306896209717,-55.367130536094564,40.4206770838274,0.2,6.245644217582487,0.19128029014162679,-0.004235920105200908,-0.041574753501028086,6.217448358034679,1767669546.3406518,None,None,None, None, 1767669546.331639,0.9944921675136963
1767669546.574928,4.5719194412231445,-52.06236904160511,40.370515822159064,0.2,6.239458360546949,0.21397939986137943,-0.005446643147527297,-0.03830029917508824,6.206976396156738,1767669546.535787,None,None,None, None, 1767669546.525753,1.0874723506663486
1767669546.77546,4.772451400756836,-48.69753670284519,40.44719790226308,0.2,6.233954484955939,0.23705842044352265,-0.006816737179956345,-0.045609550916977236,6.194057899815077,1767669546.7308896,None,None,None, None, 1767669546.7764597,1.0630358693167485
1767669546.9762373,4.973228693008423,-45.216681937085255,40.70372216296891,0.2,6.227155522116987,0.25960882770086935,-0.008353250454227634,-0.05460239242997328,6.179895320961913,1767669546.9609642,None,None,None, None, 1767669546.9539628,1.0395203293297621
1767669547.1755874,5.172578811645508,-41.79496758801543,40.982344272733066,0.2,6.218847148068524,0.2819464169244622,-0.010105463249093116,-0.044415053108408806,6.1696338682491865,1767669547.1581726,None,None,None, None, 1767669547.1506665,0.9337964802845246
1767669547.375563,5.372554302215576,-38.636660484932136,41.289841397221,0.2,6.21242073411348,0.3038217091255907,-0.01198738106130337,-0.03444955863455234,6.161056903048668,1767669547.342976,None,None,None, None, 1767669547.342976,0.9186873335819317
1767669547.5754561,5.5724475383758545,-35.501074930684865,41.69647447126326,0.2,6.208002618116961,0.3256918494473849,-0.013971283287533609,-0.04033980729726503,6.1503455176924255,1767669547.541404,None,None,None, None, 1767669547.5689447,0.9914084164226726
1767669547.775321,5.77231240272522,-32.21070455041674,42.271163595866966,0.2,6.2024995651326345,0.34723822287785144,-0.01608162498967136,-0.05312700474927622,6.13639037922715,1767669547.7455592,None,None,None, None, 1767669547.7505615,0.9640893192407597
1767669547.9756067,5.972598075866699,-29.13629508137048,42.86906043942049,0.2,6.1947528118547615,0.36855079653452266,-0.018384228540457848,-0.03663994317592776,6.126817477050846,1767669547.943381,None,None,None, None, 1767669547.943381,1.0265943938752424
