EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m)
1776240806.258825,10.000166654586792,-0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None
1776240806.4579313,10.199272871017456,-0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None
1776240806.6579494,10.399291038513184,-0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None
1776240806.858169,10.599510669708252,-0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None
1776240807.0591123,10.800453901290894,-0.0,0.0,0.2,0.0,0.0,0.0,1.1882555677911686e-07,2.3765111355823374e-08,1776240806.9350517,None,None,None,None,1776240806.9230173,0.9776833853982695
1776240807.2590325,11.00037407875061,-0.0,0.0,0.2,0.0,0.19999999999954446,1.0,0.0,0.0,1776240807.2507155,0.2,1.0,0.0,1776240807.26005,1776240807.2507155,0.9662726737492985
1776240807.4581969,11.199538469314575,-3.0040915448677605,3.0040915448677605,0.2,0.0,0.2,1.0,0.0,0.0,1776240807.4179463,0.2,1.0,0.0,1776240807.430503,1776240807.4179463,0.9171321875964408
1776240807.6591988,11.400540351867676,-10.437844153831527,10.437844153828934,0.2,0.0,0.20006732489587378,0.9999999999998916,0.0,0.0,1776240807.6124883,0.20006732489587378,0.9999999999998916,0.0,1776240807.61098,1776240807.6124883,0.9597281168310029
1776240807.8581634,11.599504947662354,-18.807727039154727,18.807727039146954,0.2,0.0,0.2001159665296692,0.9999999999998134,0.0,0.0,1776240807.6900997,0.2001159665296692,0.9999999999998134,0.0,1776240807.703008,1776240807.7060091,1.0672156505991628
1776240808.0589252,11.800266742706299,-18.80772703915769,18.807727039143995,0.2,0.0,0.2001403521609648,0.9999999999997741,0.0,0.0,1776240807.8626845,0.2001403521609648,0.9999999999997741,0.0,1776240807.858163,1776240807.8626845,0.996556701660494
1776240808.257778,11.999119520187378,-18.80772703915991,18.80772703914177,0.2,0.0,0.20432037304820283,0.9999999999997741,0.0,0.0,1776240807.8626845,0.2001403521609648,0.9999999999997741,0.0,1776240807.858163,1776240807.8626845,0.996556701660494
1776240808.4600816,12.201423168182373,-18.807727039163055,18.807727039138626,0.2,0.0,0.20015442517501514,0.9999999999997514,0.0,0.0,1776240808.3735278,0.20015442517501514,0.9999999999997514,0.0,1776240808.365488,1776240808.3735278,1.0477679416688683
1776240808.6633155,12.404657125473022,-18.807727039173425,18.807727039128263,0.2,0.0,0.2002345337214522,0.9999999999996224,0.0,0.0,1776240808.6749184,0.20042612684115663,0.999999999999314,0.0,1776240808.662798,1776240808.5868728,0.9989506808615481
1776240808.8626604,12.604001998901367,-18.80772713699862,18.807726941303063,0.2,6.283185305271038,0.20186092702192548,0.9999999999970043,-1.9976181566010968e-08,6.283185299933893,1776240808.8524735,0.20186092702192548,0.9999999999970043,6.283185305271038,1776240808.844423,1776240808.7883606,0.9419571731318358
1776240809.0586002,12.799941778182983,-18.807727154220277,18.807726924081404,0.2,6.283185305271038,0.21136117448315928,0.9999999999788726,-1.9976181566010968e-08,6.283185299933893,1776240808.8524735,0.20186092702192548,0.9999999999970043,6.283185305271038,1776240808.844423,1776240808.7883606,0.9419571731318358
1776240809.2645643,13.005905866622925,-18.807727162109163,18.807726916192703,0.2,6.283185305409694,0.20214555319368405,0.9999999999965461,1.7995175891921924e-09,6.283185306060161,1776240809.2139406,0.20214555319368405,0.9999999999965461,6.283185305409694,1776240809.187671,1776240809.1952069,0.9576018750602512
1776240809.4582405,13.19958209991455,-18.807727164829426,18.80772691347226,0.2,6.283185305642641,0.20416010110870936,0.9999999999933031,1.3995928696359974e-09,6.283185305979638,1776240809.4547224,0.20416010110870936,0.9999999999933031,6.283185305642641,1776240809.450193,1776240809.444681,1.0124820543314186
1776240809.6732914,13.41463303565979,-18.80772719504048,18.8077268832612,0.2,6.283185305518154,0.2047330419339824,0.9999999999923808,1.0865355362430458e-09,6.283185305632062,1776240809.5595582,0.2047330419339824,0.9999999999923808,6.283185305518154,1776240809.557552,1776240809.6798167,0.9960720706504247
1776240809.8607037,13.60204529762268,-18.80772720857275,18.807726869729116,0.2,6.28318530559856,0.2065020181639056,0.999999999989533,1.5499201545552553e-09,6.283185305995131,1776240809.8154235,0.2065020181639056,0.999999999989533,6.28318530559856,1776240809.795318,1776240809.806373,1.0200260521922522
1776240810.05848,13.799821615219116,-18.807727239545265,18.8077268387566,0.2,6.283185305515128,0.20936888504968257,0.9999999999849181,4.4530707529505884e-09,6.283185306527995,1776240810.042877,0.20936888504968257,0.9999999999849181,6.283185305515128,1776240810.014722,1776240810.0373507,1.0106992902901148
1776240810.2619853,14.003326892852783,-18.807727260384684,18.80772681791718,0.2,6.283185305541457,0.21088506756887876,0.9999999999824774,7.198140863994245e-10,6.283185305647895,1776240810.1907463,0.21088506756887876,0.9999999999824774,6.283185305541457,1776240810.161045,1776240810.26902,1.0254143024528388
1776240810.459981,14.201322555541992,-18.807727282434588,18.80772679586728,0.2,6.2831853055677565,0.21503530493882034,0.9999999999757968,-5.655256421504477e-09,6.2831853042613925,1776240810.4217463,0.21503530493882034,0.9999999999757968,6.2831853055677565,1776240810.401654,1776240810.3926125,1.026246919185543
1776240810.6598103,14.401151895523071,-18.807727312818706,18.80772676548316,0.2,6.283185305541453,0.22200855415505982,0.9999999999645716,5.015331291847856e-10,6.283185305643163,1776240810.6245441,0.22200855415505982,0.9999999999645716,6.283185305541453,1776240810.639105,1776240810.6054559,0.9873998626346293
1776240810.892647,14.633988618850708,-18.80772733494024,18.807726743361446,0.2,6.283185305582161,0.22989044087214594,0.9999999999518837,7.421439705012993e-10,6.283185305738932,1776240810.8357854,0.22989044087214594,0.9999999999518837,6.283185305582161,1776240810.841691,1776240810.9152846,0.9196180635140668
1776240811.06644,14.80778169631958,-18.807727364338568,18.807726713963117,0.2,6.283185305579685,0.2352500373579821,0.999999999943256,1.9562449134010304e-09,6.283185305978167,1776240811.039483,0.2352500373579821,0.999999999943256,6.283185305579685,1776240811.04149,1776240810.9927075,1.0698015308450166
1776240811.2625232,15.003864765167236,-18.80772739428402,18.807726684017663,0.2,6.283185305567973,0.24017569993601254,0.9999999999353267,4.137502629604663e-10,6.283185305637581,1776240811.2077181,0.24495549235295,0.9999999999276323,6.283185305578352,1776240811.252453,1776240811.1715684,1.0377052763818484
